sentence,target,label,implicit,source
"if the omakase is to showcase technique and variety, serving almost 40% of items bbq-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",nori,1,0,restaurants
"i can't wait for summer, when they serve outside on their gigantic patio.",patio,0,0,restaurants
best pastrami i ever had and great portion without being ridiculous.,Pastrami,0,0,restaurants
best pastrami i ever had and great portion without being ridiculous.,portion,0,0,restaurants
"if you are someone who appreciates the same things but hope to have food to spare or share, kai may not be the best option.",food,2,1,restaurants
go here for the drinks!,drinks,0,1,restaurants
"the first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",courses,0,0,restaurants
"the first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",chocolate sampler,1,0,restaurants
"the first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",dessert wine,1,0,restaurants
"butter was melted, white wine warm, cheese oozing everywhere.",Butter,1,0,restaurants
"butter was melted, white wine warm, cheese oozing everywhere.",white wine,1,0,restaurants
"butter was melted, white wine warm, cheese oozing everywhere.",cheese,1,0,restaurants
we had a party in their private room and they made it truly memorable and were very helpful in the planning.,private room,2,0,restaurants
"it cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,1,1,restaurants
"it cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",place,1,0,restaurants
"it cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",aisle,1,1,restaurants
we were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,pre-fixe menu,1,0,restaurants
we were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,choices per course,2,0,restaurants
we were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,ordering a la carte,1,1,restaurants
authentic pakistani food.,Pakistani food,0,0,restaurants
"the staff has always been friendly without seeming grating, and the chef has greeted us on a couple of occasions.",staff,0,0,restaurants
"the staff has always been friendly without seeming grating, and the chef has greeted us on a couple of occasions.",chef,0,1,restaurants
"the eggplant parmesan is also great, and my friend who grew up in manhattan claims that no one serves a better baked ziti with meatsauce.",eggplant parmesan,0,0,restaurants
"the eggplant parmesan is also great, and my friend who grew up in manhattan claims that no one serves a better baked ziti with meatsauce.",baked ziti with meatsauce,0,0,restaurants
"the eggplant parmesan is also great, and my friend who grew up in manhattan claims that no one serves a better baked ziti with meatsauce.",serves,0,1,restaurants
"quality ingredients preparation all around, and a very fair price for nyc.",ingredients,0,0,restaurants
"quality ingredients preparation all around, and a very fair price for nyc.",price,0,0,restaurants
"service was very good - prompt, attentive and non-intrusive.",Service,0,0,restaurants
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",hot pot with seafood,1,1,restaurants
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",shrimp,1,1,restaurants
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",squid,1,1,restaurants
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",entree,0,1,restaurants
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",crabmeat,1,0,restaurants
we began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,cheese fondue,2,1,restaurants
we began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,kielbasa,2,1,restaurants
we began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,apples,2,1,restaurants
"in such a crappy part of town to find a good value for lunch, this place is great.",value,0,0,restaurants
"in such a crappy part of town to find a good value for lunch, this place is great.",lunch,0,1,restaurants
"its not curry in a slurry crap, and regular run of the mill food.",curry,2,1,restaurants
"its not curry in a slurry crap, and regular run of the mill food.",food,2,1,restaurants
"in fact, while leaving the place we saw two people looking at the menu, and i couldn't help telling them that the food was horrible.",food,1,0,restaurants
"in fact, while leaving the place we saw two people looking at the menu, and i couldn't help telling them that the food was horrible.",menu,2,1,restaurants
"even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.",table,0,1,restaurants
"even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.",seated,0,0,restaurants
"if you want americanized chinese food with your usual watery, generic white sauce, this is your place.",white sauce,1,1,restaurants
"if you want americanized chinese food with your usual watery, generic white sauce, this is your place.",Chinese food,2,1,restaurants
"the bread is the soft paratha bread (unlike the plain bread they use in calcutta), and the stuffing is tandoori styled and very flavorful.",bread,0,0,restaurants
"the bread is the soft paratha bread (unlike the plain bread they use in calcutta), and the stuffing is tandoori styled and very flavorful.",paratha bread,0,0,restaurants
"the bread is the soft paratha bread (unlike the plain bread they use in calcutta), and the stuffing is tandoori styled and very flavorful.",stuffing,0,0,restaurants
"the bread is the soft paratha bread (unlike the plain bread they use in calcutta), and the stuffing is tandoori styled and very flavorful.",tandoori,0,0,restaurants
"service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.",Service,0,0,restaurants
"service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.",prices,0,0,restaurants
"service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.",delivery time,1,0,restaurants
"service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.",pizza,0,1,restaurants
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,0,0,restaurants
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,price,0,0,restaurants
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,0,0,restaurants
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,0,0,restaurants
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,0,0,restaurants
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,0,0,restaurants
an excellent service,service,0,0,restaurants
"the food however, is what one might expect.",food,2,0,restaurants
i love their thai noodles with shrimp and chicken and coconut juice is the must!,Thai noodles with shrimp and chicken and coconut juice,0,0,restaurants
the pizza was really good.,pizza,0,0,restaurants
"the only possible drawback to this last point is that as of the date of this posting, the additional menu items are only written in chinese.",menu items,1,0,restaurants
"food is average, and i would say even the chain restaurant baluchi's tastes better.",Food,2,0,restaurants
the place is small and cramped but the food is fantastic.,place,1,0,restaurants
the place is small and cramped but the food is fantastic.,food,0,0,restaurants
the food is tasty and portion sizes are appropriate.,food,0,0,restaurants
the food is tasty and portion sizes are appropriate.,portion sizes,0,0,restaurants
kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,Kosher dills,0,0,restaurants
kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,sandwich,0,0,restaurants
the entertainment was great they have shows that go on through out the dinner.,shows,0,1,restaurants
the entertainment was great they have shows that go on through out the dinner.,dinner,2,1,restaurants
the entertainment was great they have shows that go on through out the dinner.,entertainment,0,1,restaurants
the food is so cheap and the waiters are nice.,food,0,0,restaurants
the food is so cheap and the waiters are nice.,waiters,0,0,restaurants
the food there is so good that even to order out the wait is incredible.,food,0,0,restaurants
the food there is so good that even to order out the wait is incredible.,wait,1,0,restaurants
the bartender on my most recent visit was so incredibly rude that i will never go back.,bartender,1,0,restaurants
"their sushi, kamikaze and other rolls are fresh and well presented.",sushi,0,0,restaurants
"their sushi, kamikaze and other rolls are fresh and well presented.",Kamikaze,0,0,restaurants
"their sushi, kamikaze and other rolls are fresh and well presented.",Rolls,0,0,restaurants
"for authentic thai food, look no further than toons.",Thai food,0,0,restaurants
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners, which is not good considering the bill was nearly $100.",mayonaisse,1,0,restaurants
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners, which is not good considering the bill was nearly $100.",food runners,2,0,restaurants
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners, which is not good considering the bill was nearly $100.",bill,1,1,restaurants
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners, which is not good considering the bill was nearly $100.",fries,1,1,restaurants
"i choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",braised lamb shank in red wine,0,0,restaurants
"i choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",special,0,0,restaurants
"if anyones has doubt of not knowing enough about wines,please check their wine list.",wines,2,1,restaurants
"if anyones has doubt of not knowing enough about wines,please check their wine list.",wine list,0,1,restaurants
"the only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",waitstaff,1,1,restaurants
"the only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",food,2,1,restaurants
have the iced tea.,iced tea,0,1,restaurants
"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,1,0,restaurants
"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",chicken,0,0,restaurants
"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings,1,0,restaurants
"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,1,1,restaurants
you can actually get 2 salads worth if u take it home and add it to some lettuce!,salads,1,0,restaurants
you can actually get 2 salads worth if u take it home and add it to some lettuce!,lettuce,2,1,restaurants
the ambience is very romantic and definitely a good place to bring a date.,ambience,0,0,restaurants
the ambience is very romantic and definitely a good place to bring a date.,place,0,0,restaurants
"it is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",bar,0,0,restaurants
"it is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",tables,1,0,restaurants
"it is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",waiter,2,1,restaurants
"it is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",bartender,2,1,restaurants
"it is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",atmosphere,0,0,restaurants
"the food is very good for it's price, better than most fried dumplings i've had.",food,0,0,restaurants
"the food is very good for it's price, better than most fried dumplings i've had.",price,0,1,restaurants
"the food is very good for it's price, better than most fried dumplings i've had.",fried dumplings,1,0,restaurants
there are much better places in ny with better prices.,prices,1,0,restaurants
obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.,Obv caviar,0,0,restaurants
obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.,menu,0,0,restaurants
i ate here a week ago and found most dishes average at best and too expensive.,dishes,1,0,restaurants
"still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",food,2,0,restaurants
"still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",dining experiences,0,0,restaurants
i've waited over one hour for food.,food,2,1,restaurants
"other guests enjoyed pizza, santa fe chopped salad and fish and chips.",pizza,0,0,restaurants
"other guests enjoyed pizza, santa fe chopped salad and fish and chips.",santa fe chopped salad,0,0,restaurants
"other guests enjoyed pizza, santa fe chopped salad and fish and chips.",fish and chips,0,0,restaurants
the ambience is very calm and quiet.,ambience,0,0,restaurants
"both times i was extremely dissappointed by the service, which was boarderline rude.",service,1,0,restaurants
"not only does make the best pizza in ny , maybe anywhere.",pizza,0,0,restaurants
the spicy tuna roll is huge and probably the best that i've had at this price range.,Tuna roll,0,0,restaurants
the spicy tuna roll is huge and probably the best that i've had at this price range.,price range,0,0,restaurants
price and quality of fish alone will keep us from making a return visit.,Price,1,1,restaurants
price and quality of fish alone will keep us from making a return visit.,fish,1,1,restaurants
price and quality of fish alone will keep us from making a return visit.,quality,1,1,restaurants
our waiter and all of the people helping him were attentive and genuine.,waiter,0,0,restaurants
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,place,0,0,restaurants
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,dishes,0,0,restaurants
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,wine,0,0,restaurants
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,atmosphere,0,0,restaurants
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,served,0,0,restaurants
this is one of the best comfort food places in the city.,comfort food,0,0,restaurants
"overall, the ingredients and technique are there and i am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",ingredients,0,1,restaurants
"overall, the ingredients and technique are there and i am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",technique,0,1,restaurants
"overall, the ingredients and technique are there and i am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",lunch,2,1,restaurants
"overall, the ingredients and technique are there and i am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",dinner,2,1,restaurants
i had a huge pastrami sandwich on a roll.,pastrami sandwich,0,0,restaurants
"though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",table,1,0,restaurants
"though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",atomosphere,0,0,restaurants
"though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",room,1,0,restaurants
"though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",spot,1,0,restaurants
the fish was not fresh and the rice tasted old and stale.,fish,1,0,restaurants
the fish was not fresh and the rice tasted old and stale.,rice,1,0,restaurants
"considering their price of $6.25 for lunch special, the dish was ridiculously small.",price,1,1,restaurants
"considering their price of $6.25 for lunch special, the dish was ridiculously small.",dish,1,0,restaurants
"considering their price of $6.25 for lunch special, the dish was ridiculously small.",lunch special,1,1,restaurants
this is the pinnacle of indian fast food (all fast foods in my opinion).,Indian Fast Food,0,1,restaurants
"besides, when you have bad service, that's less money you have to tip.",service,1,0,restaurants
"besides, when you have bad service, that's less money you have to tip.",money,1,0,restaurants
"besides, when you have bad service, that's less money you have to tip.",tip,1,0,restaurants
the wine list is also really nice.,wine list,0,0,restaurants
"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,0,0,restaurants
"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,0,0,restaurants
"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",price,0,0,restaurants
"compared to ess-a, tal offers a less doughy bagel!",bagel,1,0,restaurants
ballato's is consistently delicious authentic italian food.,italian food,0,0,restaurants
"the service was attentive, yet discreet.",service,0,0,restaurants
for those prices and the dressed up atmosphere you expect more and should get more.,prices,1,1,restaurants
for those prices and the dressed up atmosphere you expect more and should get more.,atmosphere,1,1,restaurants
they offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,menu,2,0,restaurants
they offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,drinks,0,0,restaurants
we went to eat at the jekyll and hyde restaurant on friday night and really enjoyed the fun atmosphere and good food.,atmosphere,0,0,restaurants
we went to eat at the jekyll and hyde restaurant on friday night and really enjoyed the fun atmosphere and good food.,food,0,0,restaurants
the food was pretty tradional but it was hot and good with large portions.,food,0,0,restaurants
the food was pretty tradional but it was hot and good with large portions.,portions,0,0,restaurants
"unless you are eating in the pizzeria side of this place, and are not in a rush, this place is a bad idea.",place,1,0,restaurants
you have to increase the service a lot.,service,1,1,restaurants
ambiance is barely romantic but management tries.,Ambiance,1,0,restaurants
ambiance is barely romantic but management tries.,management,0,0,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,1,0,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",appetizers,1,0,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",appetizer,1,1,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",main entree,2,1,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",cold udon,2,1,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",chef,0,1,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",menu,0,1,restaurants
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",dish,1,1,restaurants
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice.,food,1,0,restaurants
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice.,rice,2,0,restaurants
"after we got our sashimi order, i could not believe how small the portions were!",sashimi,2,0,restaurants
"after we got our sashimi order, i could not believe how small the portions were!",portions,1,0,restaurants
"after the main course came, we didn't see our waiter for at least 40 minutes!",main course,2,1,restaurants
"after the main course came, we didn't see our waiter for at least 40 minutes!",waiter,1,1,restaurants
nothing better than buying a snapple for $3.25 too.,snapple,0,0,restaurants
"when family came in he gave them apps to test their palets, and then ordered for them.",apps,2,1,restaurants
"service is extraordinary, yet not overbearing, and the decor brings a taste of trendy soho into queens.",Service,0,0,restaurants
"service is extraordinary, yet not overbearing, and the decor brings a taste of trendy soho into queens.",decor,0,0,restaurants
"the dosas are skimpy, unattractive and drip with grease, and personally i'd drink popcorn topping before i'd eat another one of these.",dosas,1,0,restaurants
"the dosas are skimpy, unattractive and drip with grease, and personally i'd drink popcorn topping before i'd eat another one of these.",popcorn topping,2,1,restaurants
the service was excellent and the food was delicious.,service,0,0,restaurants
the service was excellent and the food was delicious.,food,0,0,restaurants
if i wanted to deal with a crappy scene and annoying customers i'd go out in manhattan.,scene,1,0,restaurants
if i wanted to deal with a crappy scene and annoying customers i'd go out in manhattan.,customers,1,0,restaurants
"after a seafood craving, i checked citysearch and chose to go to fish based on a previous review and the citysearch info.",seafood,2,1,restaurants
right off the major deegan you get ladies from all over the city.,ladies,0,1,restaurants
until you realize that their five minutes is meaningless and your wait may be anywhere from two to twenty minutes it may be frustrating.,wait,1,0,restaurants
"thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",people serving,0,0,restaurants
"thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",food,1,0,restaurants
the fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,fillings,2,0,restaurants
the fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,dosa batter,0,0,restaurants
"this is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",lunch,0,1,restaurants
"this is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",dinner,0,1,restaurants
"this is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",pre-theatre or after-theatre drinks,0,1,restaurants
"this is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",spot,0,0,restaurants
"the mussaman curry that i ordered was as thin as water and aside from the poorly fried tofu that i ordered in it, they graciously provided me with one piece of poorly cooked potato.",mussaman curry,1,0,restaurants
"the mussaman curry that i ordered was as thin as water and aside from the poorly fried tofu that i ordered in it, they graciously provided me with one piece of poorly cooked potato.",fried tofu,1,0,restaurants
"the mussaman curry that i ordered was as thin as water and aside from the poorly fried tofu that i ordered in it, they graciously provided me with one piece of poorly cooked potato.",potato,1,0,restaurants
had a late night dinner on a saturday night.,dinner,2,1,restaurants
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,0,0,restaurants
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,0,0,restaurants
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,atmosphere,0,0,restaurants
their sake martini is wonderful.,sake martini,0,0,restaurants
"well, this place is so ghetto its not even funny.",place,1,0,restaurants
once they ran out of gnochi and made it for me from scratch!,Gnochi,2,1,restaurants
we would like to thank marcelo and grace for a wonderful dining experience!!!,dining,0,0,restaurants
"found service above average, but that could be because we were 13 of us.",service,0,0,restaurants
"bagels are ok, but be sure not to make any special requests!",Bagels,2,0,restaurants
fine dining restaurant quality.,quality,0,0,restaurants
overall a disappointing experience for that price category.,price,1,0,restaurants
"i've had the lunch buffet at chennai a couple of times, when i have been in the neighborhood.",lunch buffet,2,1,restaurants
the food was exceptional.,food,0,0,restaurants
a thai restaurant out of rice during dinner?,rice,2,1,restaurants
a thai restaurant out of rice during dinner?,dinner,2,1,restaurants
the portions are small but being that the food was so good makes up for that.,portions,1,0,restaurants
the portions are small but being that the food was so good makes up for that.,food,0,0,restaurants
(and i have eaten my share) which impresses me for having such a large amount of people to serve.,serve,0,0,restaurants
"sure, the setting is nice.",setting,0,0,restaurants
"the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",service,0,0,restaurants
"the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",food,0,0,restaurants
"had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.",appetizer,2,1,restaurants
"had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.",entrees,2,1,restaurants
"had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.",cokes,2,1,restaurants
"had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.",bill,2,1,restaurants
best drumsticks over rice and sour spicy soup in town!,drumsticks over rice,0,0,restaurants
best drumsticks over rice and sour spicy soup in town!,sour spicy soup,0,0,restaurants
slightly above average wines start at $70+ with only one selection listed at $30+.,wines,1,0,restaurants
their whitefish salad is excellent--all whitefish with a little mayo.,whitefish salad,0,0,restaurants
their whitefish salad is excellent--all whitefish with a little mayo.,whitefish,0,0,restaurants
their whitefish salad is excellent--all whitefish with a little mayo.,mayo,0,0,restaurants
"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",price,0,0,restaurants
"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",congee,2,0,restaurants
"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",noodles,2,0,restaurants
"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",rice dishes,2,0,restaurants
"the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",chicken with portobello mushrooms,1,1,restaurants
"the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",chicken,1,0,restaurants
"the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",tomato sauce,1,0,restaurants
"the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",pasta,1,0,restaurants
"the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",sauce,1,0,restaurants
i recommend this place to everyone who asks me where to go for a good meal.,meal,0,0,restaurants
the waitresses are nice--also you can just get counter service sit.,waitresses,0,0,restaurants
the waitresses are nice--also you can just get counter service sit.,counter service,0,1,restaurants
the only friendly staff member was the guy at the bar.,staff member,0,0,restaurants
the only friendly staff member was the guy at the bar.,bar,2,1,restaurants
the only friendly staff member was the guy at the bar.,guy,0,1,restaurants
"you can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, la villa can't be beat.",food,0,0,restaurants
"you can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, la villa can't be beat.",prices,0,0,restaurants
won't or can't is not in the service directory.,service,0,1,restaurants
i cannot imagine a friendlier staff working in a restaurant.,staff,0,0,restaurants
i do suggest to ask to be seated upstairs if you are looking to be a little cozy.,upstairs,0,0,restaurants
"the red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",red curry,1,0,restaurants
"the red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",pad thai,1,0,restaurants
"the red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",rice,1,0,restaurants
"the red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",seafood,1,0,restaurants
the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,wine list,0,0,restaurants
the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,meal,0,0,restaurants
the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,priced,0,0,restaurants
"saul is pretty good, but definitely not great.",Saul,2,0,restaurants
"i would recommend roxy's for that, but not for their food.",food,1,0,restaurants
we always get a sampling of appetizers and share.,appetizers,2,1,restaurants
"overall i was impressed and will return, it's a great qpr (quality to price ratio).",Price,0,0,restaurants
"overall i was impressed and will return, it's a great qpr (quality to price ratio).",Quality,0,0,restaurants
"it is nearly impossible to get a table, so if you ever have the chance to go here for dinner, do not pass it up.",table,1,0,restaurants
"it is nearly impossible to get a table, so if you ever have the chance to go here for dinner, do not pass it up.",dinner,0,1,restaurants
their pad penang is delicious and everything else is fantastic.,pad penang,0,0,restaurants
"the puke green walls leave a lot to be desired, but the food is very good.",food,0,0,restaurants
"the puke green walls leave a lot to be desired, but the food is very good.",walls,1,0,restaurants
"the flavors are very fresh and pretty inobtrusive, nothing flashy.",flavors,0,0,restaurants
"i like cafe noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",people,1,0,restaurants
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,hanger steak,1,0,restaurants
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,tuna,1,0,restaurants
"our son loves pizza and we have a certified neapolitan pizzaria in our home city (seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.",pizza,0,0,restaurants
big and soft as well as good lunch food.,lunch food,0,0,restaurants
"no food snobs allowed, this place is for people who appreciate good food.",food,2,0,restaurants
i liked the food at this quasi-thai restaurant.,food,0,0,restaurants
i liked the food at this quasi-thai restaurant.,quasi-thai,0,1,restaurants
by far the best salad i have had in a fast food restaurant.,salad,0,0,restaurants
